"uuid","tenantid","currentstate","action","nextstate","roles","createdby","createdtime","lastmodifiedby","lastmodifiedtime","active"
"003987e7-2307-42b8-890d-dcf2b72b1bc5","pg.citya","4ff47f50-5682-4332-bebf-fb20009ed66a","REJECT","463f4a9e-d632-4be5-9245-0727df3ab6fe","NOC_APPROVER","1723f919-bcce-4f6f-a135-4757075c5c27","1743483264461","1723f919-bcce-4f6f-a135-4757075c5c27","1743483264461",True
"004129a4-9ec2-4905-9741-569c741ed53c","pg.citya","ba9368a8-e030-4699-984b-afac3e7de826","ASSIGN","2d77f0b0-4c82-4057-8fd1-9949bc36c757","FSM_EDITOR_EMP","3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1746620241301","3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1746620241301",True
"00e1c5ed-76ff-4f18-8230-6a7ba0e70187","pg.citya","5ea79b24-0f5d-48bf-92ee-7caa90bdfa81","CANCEL","0c42f37f-609e-48be-9480-85bf77a80542","FSM_ADMIN","5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1746620274309","5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1746620274309",True
"01bbba6f-3be2-45f3-b9a3-649126ffbafb","pg.citya","d5a2b9b4-fd02-4384-8765-65a9f0ca471c","SEND_BACK","d9bb0214-ec55-4dc0-8f84-94ee5bc1996b","WS_DOC_VERIFIER","d14f1116-6b07-4345-9db9-820d2e85daa0","1750331436198","d14f1116-6b07-4345-9db9-820d2e85daa0","1750331436198",True
"01f28500-5fd9-40cb-a921-60a8b99bd4b3","pg.citya","9ff067c0-41bd-4a65-bba0-4420e2edf44d","PAY","eb2fd607-bad0-4abb-a39d-1bce2e1da2c1","CITIZEN,NOC_CEMP","1723f919-bcce-4f6f-a135-4757075c5c27","1743483264461","1723f919-bcce-4f6f-a135-4757075c5c27","1743483264461",True
"022216e5-f054-4927-9941-5d23f4491685","pg","a70a844c-3fa5-43de-9903-fdd51f0dce69","FORWARD","b3c62a61-ac34-4a6c-b252-5963a47660dc","PT_FIELD_INSPECTOR","919f4168-223a-4ea9-8d27-9a9e27e672bd","1743070107121","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747291928326",True
"02330974-13da-4770-bec3-28bb47f046be","pg","02e5b406-7560-4d76-aecd-84513f2e4825","REJECT","b6deab05-74b0-4a47-8cee-eff66271e066","PT_DOC_VERIFIER","919f4168-223a-4ea9-8d27-9a9e27e672bd","1743070107121","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747291928326",True
"02426fdd-0b40-42ea-b2e4-d144739de10b","pg.citya","a1a91c06-297d-4df0-83c5-6a361f637ee8","REASSING","c45d372c-7fb3-43ea-bb9d-4135211768b5","FSM_EDITOR_EMP","5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1746620465019","5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1746620465019",True
"03198bcd-e5e7-4bf5-aa70-a8a3b3b70177","pg","e7546894-9ef0-49e0-ab73-f7fae5b807b5","REJECT","eed252ac-cce2-4c48-a049-1f6cf2d2979f","WORK_ORDER_VERIFIER","b43b260c-f620-45d3-a43f-f53148f87f15","1759748358987","b43b260c-f620-45d3-a43f-f53148f87f15","1759748358987",True
"0333bbb6-9720-4ce1-b507-87924eedbd0a","pg","9178164c-5a82-4b52-a08a-23c3b2730bae","AUTO_APPROVE","e9a55aad-d3d9-4c8b-b4bd-88e8bb3f6c28","BPA_VERIFIER,BPA_FIELD_INSPECTOR,BPA_NOC_VERIFIER,BPA_APPROVER","1723f919-bcce-4f6f-a135-4757075c5c27","1745170642694","1723f919-bcce-4f6f-a135-4757075c5c27","1745170642694",True
"035f2a57-b700-4975-bf89-4f51ce929e9d","pg","af56b240-542c-49a1-a9bb-fcc2e93866aa","SENDBACK","3e0461ba-7a84-49b1-9ffe-7a36a9326d90","FSM_ADMIN","3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1744197611210","3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1744197611210",True
"03b26075-1963-4255-b5b6-b7788d293e3f","pg","938972aa-139d-44e1-b304-9c6a9b955bbd","REJECT","eed252ac-cce2-4c48-a049-1f6cf2d2979f","WORK_ORDER_CREATOR","b43b260c-f620-45d3-a43f-f53148f87f15","1759748358987","b43b260c-f620-45d3-a43f-f53148f87f15","1759748358987",True
"03ce6727-d375-413c-bb72-436aa68f2ae3","pg","3e0461ba-7a84-49b1-9ffe-7a36a9326d90","DSO_ACCEPT","af56b240-542c-49a1-a9bb-fcc2e93866aa","FSM_DSO","3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1744197611210","3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1744197611210",True
"05530609-6382-4c28-9744-93d568e4bfb5","pg","bce263de-2e48-4236-b766-562768dfba00","CREATE","cf33d6f0-43e1-4ff6-82f4-522544d52006","CITIZEN","11b0e02b-0145-4de2-bc42-c97b96264807","1744197648205","11b0e02b-0145-4de2-bc42-c97b96264807","1744197648205",True
"05c0338c-81f7-413d-9e04-ddd5031c5c3f","pg.citya","aff49806-daff-41c8-9ee0-de086feaca58","APPLY","603a5c7b-9e6f-4c2b-8e31-6b7ef4290c87","CITIZEN,BPA_CITIZEN,ANONYMOUS","3709110a-4b1d-49a4-b639-95b689a86aa5","1743501511811","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747302921144",True
"05d5fed7-4f14-4e29-a334-8b4dcddce49a","pg","2acf767c-c4eb-4357-8653-9c3303df9933","REJECT","8c6efcf0-329e-437d-b2c9-f4aaeed97580","WS_FIELD_INSPECTOR","1723f919-bcce-4f6f-a135-4757075c5c27","1745170689502","1723f919-bcce-4f6f-a135-4757075c5c27","1750320158669",True
