"businessservice","business","tenantid","uuid","geturi","posturi","createdby","createdtime","lastmodifiedby","lastmodifiedtime","businessservicesla"
"SUPERVISOR","BPAREG","pg.citya","022d53ab-71c7-41e8-85e7-a27d4fcbc66c",NULL,NULL,"3709110a-4b1d-49a4-b639-95b689a86aa5","1743501511811","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747302781861","0"
"FSM_ADVANCE_PAY_SERVICE","fsm","pg.citya","0639ccd3-26e4-45b4-be62-2029317dfb67",NULL,NULL,"5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1746620339237","5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1746620339237","172800000"
"WS.AMENDMENT","WS","pg.citya","09aa243d-f43d-4da1-8058-6c4a6b531b16",NULL,NULL,"3709110a-4b1d-49a4-b639-95b689a86aa5","1743506632422","3709110a-4b1d-49a4-b639-95b689a86aa5","1743506632422","0"
"NewSW1","sw-services","pg","0ab34fa0-9b83-4b29-94fa-bf6c5a49f6b8",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170748360","1723f919-bcce-4f6f-a135-4757075c5c27","1750319946627","259200000"
"ARCHITECT","BPAREG","pg.citya","0e0739fc-882a-444e-9c18-28c65ba33fca",NULL,NULL,"3709110a-4b1d-49a4-b639-95b689a86aa5","1743501511811","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747303229636","0"
"STRUCTURALENGINEER","BPAREG","pg","117e8465-d2fc-4b93-8bb1-0b3bb64247c8",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1744621944477","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747302871860","0"
"NewWS1","ws-services","pg","11b3ca26-af4e-47cb-b7c7-5fde995e3623",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170689502","1723f919-bcce-4f6f-a135-4757075c5c27","1750320158669","259200000"
"AIRPORT_NOC_OFFLINE","noc-services","pg","13825637-e367-4cc5-a7b7-333924a383eb",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170642694","1723f919-bcce-4f6f-a135-4757075c5c27","1745170642694","5184000000"
"SW.AMENDMENT","SW","pg.citya","14fd45d4-025b-467c-96d2-059af099dd03",NULL,NULL,"3709110a-4b1d-49a4-b639-95b689a86aa5","1743506587586","3709110a-4b1d-49a4-b639-95b689a86aa5","1743506587586","0"
"FSM","fsm","pg","18311687-f9b2-4c5f-ae1a-c7861a9463e1",NULL,NULL,"3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1744197611210","3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1744197611210","172800000"
