"uuid","tenantid","businessserviceid","state","applicationstatus","sla","docuploadrequired","isstartstate","isterminatestate","createdby","createdtime","lastmodifiedby","lastmodifiedtime","seq","isstateupdatable"
"002eea7c-54c4-4c80-affd-35412386de13","pg","73a1bc6f-8d57-4e84-b5a3-e3b5ea126725","APPROVED","ACTIVE",NULL,False,False,True,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170781516","1723f919-bcce-4f6f-a135-4757075c5c27","1750320098459",606,False
"0185bfbf-f7e3-457b-aab0-eb2bd0438cc7","pg","30980eed-6094-4074-a2b6-3cb5bac7b6a0","PENDING_FOR_APPROVAL","PENDING_FOR_APPROVAL","86400000",False,False,False,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170757723","1723f919-bcce-4f6f-a135-4757075c5c27","1745170757723",589,False
"01c8bb7e-a2a1-49f8-ba0f-1606da658931","pg","a5d1baa4-6d6b-4fe9-830d-21b08c2f0b1b","APPROVED","APPROVED",NULL,False,False,True,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170615341","1723f919-bcce-4f6f-a135-4757075c5c27","1745170615341",520,False
"01eb74e4-fe6e-490c-9e91-4ad262329f2b","pg.citya","61692547-0453-4d2d-a696-f272c03c3731","FIELDINSPECTION","FIELDINSPECTION","86400000",False,False,False,"1723f919-bcce-4f6f-a135-4757075c5c27","1743484407631","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747222452265",84,True
"0227c254-14e7-4089-b259-bc54fea1c0a8","pg","601b4c9b-b61a-47e0-a175-2909e713a003","PENDING_FOR_DOCUMENT_VERIFICATION","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,False,False,False,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170768730","1723f919-bcce-4f6f-a135-4757075c5c27","1750320031573",594,True
"024b4b66-c58c-43e0-abad-daab1cd1611b","pg","18311687-f9b2-4c5f-ae1a-c7861a9463e1",NULL,NULL,NULL,False,True,False,"3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1744197611210","3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1744197611210",262,True
"0292c11c-fe97-44f5-92da-321da2fa5ec8","pg.citya","58d3bdfb-e1f9-40d8-bd04-88d65af3c0eb","CITIZENACTIONREQUIRED","CITIZENACTIONREQUIRED",NULL,False,False,False,"1723f919-bcce-4f6f-a135-4757075c5c27","1743483264461","1723f919-bcce-4f6f-a135-4757075c5c27","1743483264461",66,True
"02e5b406-7560-4d76-aecd-84513f2e4825","pg","f7329b4a-c3cf-4587-9ffa-e439bf8d9c58","OPEN","INWORKFLOW","432000000",False,True,False,"919f4168-223a-4ea9-8d27-9a9e27e672bd","1743070107121","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747291928326",16,False
"0352f845-af68-470f-a91e-d2afed3fc981","pg.citya","c7848f64-b6ca-4c61-9459-3e4788a4aaeb","PENDING_FOR_PAYMENT","PENDING_FOR_PAYMENT","43200000",False,False,False,"d14f1116-6b07-4345-9db9-820d2e85daa0","1750331394335","d14f1116-6b07-4345-9db9-820d2e85daa0","1750331394335",1012,False
"03da0e04-2f50-4fa6-a797-8dd0782d6ea8","pg","da95f7f1-812d-46d4-bfa6-ad93e3c983e6","APPROVED","APPROVED",NULL,False,False,True,"1723f919-bcce-4f6f-a135-4757075c5c27","1744621912674","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747300462548",400,False
"040098e2-b615-41aa-aa88-312d43d59afe","pg","7f960ae1-9e5a-48b1-8aa4-0e137e3656a4",NULL,NULL,NULL,False,True,False,"1723f919-bcce-4f6f-a135-4757075c5c27","1744613193390","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747302742562",348,False
"046bf108-ab75-427b-9367-55a13970b9c5","pg.citya","4119190b-4b04-4609-8571-e5653e96ca5b","CITIZEN_APPROVAL_PENDING","CITIZEN_APPROVAL_INPROCESS",NULL,False,False,False,"3709110a-4b1d-49a4-b639-95b689a86aa5","1743501511811","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747225208046",99,False
